"filename", "language", "TypeScript", "MS SQL", "TypeScript JSX", "JSON", "JavaScript", "PostCSS", "comment", "blank", "total"
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -1, 0, -1
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260117153647_init/migration 2.sql", "MS SQL", 0, 37, 0, 0, 0, 0, 6, 9, 52
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260120095828_bigint_prices/migration 2.sql", "MS SQL", 0, 2, 0, 0, 0, 0, 1, 1, 4
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260120151104_contacts_upgrade/migration 2.sql", "MS SQL", 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260122112841_upgrade_property_schema_saas/migration 2.sql", "MS SQL", 0, 32, 0, 0, 0, 0, 19, 9, 60
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260122183550_add_property_activity_log/migration 2.sql", "MS SQL", 0, 11, 0, 0, 0, 0, 3, 4, 18
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260123053630_add_user_columns_to_property_activity/migration 2.sql", "MS SQL", 0, 2, 0, 0, 0, 0, 1, 1, 4
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260123161713_add_lead_crm/migration 2.sql", "MS SQL", 0, 4, 0, 0, 0, 0, 2, 2, 8
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260124023927_add_property_share/migration 2.sql", "MS SQL", 0, 12, 0, 0, 0, 0, 2, 3, 17
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260125104045_add_tenant_preferences_enum/migration 2.sql", "MS SQL", 0, 1, 0, 0, 0, 0, 1, 1, 3
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260125105523_add_tenant_rules/migration 2.sql", "MS SQL", 0, 4, 0, 0, 0, 0, 8, 2, 14
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260125135521_add_agent_system/migration 2.sql", "MS SQL", 0, 26, 0, 0, 0, 0, 8, 11, 45
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260125201245_ingestion_log/migration 2.sql", "MS SQL", 0, 12, 0, 0, 0, 0, 3, 4, 19
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260126065737_add_agent_merge_system/migration 2.sql", "MS SQL", 0, 12, 0, 0, 0, 0, 2, 3, 17
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260126145016_add_property_notes/migration 2.sql", "MS SQL", 0, 1, 0, 0, 0, 0, 1, 1, 3
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260126150732_add_lead_field_to_property_share/migration 2.sql", "MS SQL", 0, 4, 0, 0, 0, 0, 1, 1, 6
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260128170540_add_team_member/migration 2.sql", "MS SQL", 0, 7, 0, 0, 0, 0, 1, 2, 10
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260202090910_add_client_thread/migration 2.sql", "MS SQL", 0, 33, 0, 0, 0, 0, 10, 13, 56
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260202102249_add_follow_up_to_client_property/migration 2.sql", "MS SQL", 0, 1, 0, 0, 0, 0, 1, 1, 3
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260202122244_add_last_contacted_at/migration 2.sql", "MS SQL", 0, 1, 0, 0, 0, 0, 1, 1, 3
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260217123424_merged_into/migration 2.sql", "MS SQL", 0, 1, 0, 0, 0, 0, 1, 1, 3
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260217161807_property_count_added/migration 2.sql", "MS SQL", 0, 1, 0, 0, 0, 0, 1, 1, 3
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260319061333_add_workspace_auth_canonical_property_deals/migration 2.sql", "MS SQL", 0, 497, 0, 0, 0, 0, 205, 203, 905
